,0
370,1765676238.999999
371,1765676238.999999
372,1765676238.999999
373,1765676238.999999
374,1765676238.999999
375,1753273238.999998
376,1753273238.999998
377,1753273238.999998
378,1753273238.999998
379,1753273238.999998
380,1741289139.0
381,1741289139.0
382,1741289139.0
383,1741289139.0
384,1741289139.0
385,1741289139.0
386,1741289139.0
387,1741289139.0
388,1742055638.999999
389,1742055638.999999
390,1742055638.999999
391,1742055638.999999
392,1742055638.999999
393,1742055638.999999
394,1742055638.999999
395,1742055638.999999
396,1742055638.999999
397,1742055638.999999
398,1742055638.999999
399,1742055638.999999
400,1742055638.999999
401,1742055638.999999
402,1742055638.999999
403,1742055638.999999
404,1742055638.999999
405,1742055638.999999
406,1742055638.999999
407,1706283638.999999
408,1706283638.999999
409,1706283638.999999
410,1706283638.999999
411,1706283638.999999
412,1706283638.999999
413,1706283638.999999
414,1706283638.999999
415,1706283638.999999
416,1706283638.999999
417,1706283638.999999
418,1706283638.999999
419,1706283638.999999
420,1706283638.999999
421,1701310488.999999
422,1701310488.999999
423,1701310488.999999
424,1701310488.999999
425,1684404288.999999
426,1684404288.999999
427,1684404288.999999
428,1684404288.999999
429,1684404288.999999
430,1684404288.999999
431,1684404288.999999
432,1657489788.9999995
433,1657489788.9999995
434,1657489788.9999995
435,1657489788.9999995
436,1657489788.9999995
437,1657489788.9999995
438,1657489788.9999995
439,1656251588.999999
440,1656251588.999999
441,1656251588.999999
442,1656251588.999999
443,1656251588.999999
444,1640605838.9999986
445,1640605838.9999986
446,1640605838.9999986
447,1640605838.9999986
448,1640605838.9999986
449,1640605838.9999986
450,1640605838.9999986
451,1636778638.999999
452,1636778638.999999
453,1636778638.999999
454,1636778638.999999
455,1636778638.999999
456,1636778638.999999
457,1636778638.999999
458,1641985038.9999988
459,1641985038.9999988
460,1641985038.9999988
461,1641985038.9999988
462,1641985038.9999988
463,1641985038.9999988
464,1641985038.9999988
465,1641985038.9999988
466,1641985038.9999988
467,1641985038.9999988
468,1641985038.9999988
469,1641985038.9999988
470,1641985038.9999988
471,1641985038.9999988
472,1641985038.9999988
473,1641985038.9999988
474,1641985038.9999988
475,1641985038.9999988
476,1641985038.9999988
477,1641985038.9999988
478,1641985038.9999988
479,1641985038.9999988
480,1641985038.9999988
481,1637557088.9999988
482,1637557088.9999988
483,1637557088.9999988
484,1637557088.9999988
485,1637557088.9999988
486,1637557088.9999988
487,1637557088.9999988
488,1637557088.9999988
489,1637557088.9999988
490,1637557088.9999988
491,1637557088.9999988
492,1633644088.999999
493,1633644088.999999
494,1633644088.999999
495,1633644088.999999
496,1633644088.999999
497,1633644088.999999
498,1633644088.999999
499,1630840288.999999
500,1630840288.999999
501,1630840288.999999
502,1630840288.999999
503,1630840288.999999
504,1630840288.999999
505,1630840288.999999
506,1630840288.999999
507,1630840288.999999
508,1630840288.999999
509,1629132888.999999
510,1629132888.999999
511,1629132888.999999
512,1629132888.999999
513,1629132888.999999
514,1629132888.999999
515,1629132888.999999
516,1629132888.999999
517,1629323038.999999
518,1629323038.999999
519,1629323038.999999
520,1629323038.999999
521,1629323038.999999
522,1629323038.999999
523,1629323038.999999
524,1629323038.999999
525,1629323038.999999
526,1629323038.999999
527,1629323038.999999
528,1629323038.999999
529,1629323038.999999
530,1629323038.999999
531,1629323038.999999
532,1629323038.999999
533,1629323038.999999
